BUNDLE      FILENAME        DISK      DIRECTORY     DESCRIPTION
MKK         SETUPMKK.EXE    7         \             IBMMKK setup
MKK         USERDICT.EXE    7         \             IBMMKK user dictionary maintenance
PCM1        CNFIGNAM.EXE    7         \PCM\         PCMCIA specifies boot configuration in PCM.INI
PCM1        PCM.DBC         7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCM.EXE         7         \PCM\         PCMCIA PCM+ configuration program
PCM1        PCM.NEW         7         \PCM\         PCMCIA initialization file for PCMSETUP and PCM
PCM1        PCM.SBC         7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMATA.SYS      7         \PCM\         PCMCIA virtual driver for FAT structured devices
PCM1        PCMCS.EXE       7         \PCM\         PCMCIA Card Services 2.1
PCM1        PCMDINST.EXE    7         \             Deinstall previous PCMCIA versions
PCM1        PCMFDISK.DBC    7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMFDISK.EXE    7         \PCM\         PCMCIA FDISK utility to partition SRAM cards
PCM1        PCMFDISK.SBC    7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMFFCS.EXE     7         \PCM\         PCMCIA flash file support interface to PCM+
PCM1        PCMGROUP.NEW    7         \PCM\         PCMCIA file
PCM1        PCMINST.DBC     7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMINST.EXE     7         \PCM\         PCMCIA installation utility for PCM+
PCM1        PCMINST.SBC     7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMINST.TXT     7         \PCM\         PCMCIA PCMSETUP's screen text
PCM1        PCMINSTJ.TXT    7         \PCM\         PCMCIA part of PCMCIA
PCM1        PCMRESET.EXE    7         \             Associate program for PCMDINST
PCM1        PCMSSCL.EXE     7         \PCM\         PCMCIA Socket Services 2.1 (Cirrus Logic Controller)
PCM1        PCMSSDB.EXE     7         \PCM\         PCMCIA Socket Services 2.1 (Databook Controller)
PCM1        PCMSSIT.EXE     7         \PCM\         PCMCIA Socket Services 2.1 (Intel Controller)
PCM1        PCMSSRC.EXE     7         \PCM\         PCMCIA Socket Services 2.1 (Ricoh Controller)
PCM2        PCMRMAN.DBC     2         \PCM\         PCMCIA part of PCMCIA support
PCM2        PCMRMAN.EXE     2         \PCM\         PCMCIA PCM+ Resource Manager
PCM2        PCMRMAN.SBC     2         \PCM\         PCMCIA part of PCMCIA support
